Name,Sex,Year,Description
Robert E. Larson,M,1982,"was the co-founder, president, and CEO of Systems Control before the company’s sale to British Petroleum."
James B. Owens,M,1983,"worked as a military radar components designer during World War II for Westinghouse. He later became president of Gould-Brown Boveri, which designed and manufactured electrical transmission and distribution equipment."
Richard Gowen,M,1984,"directed the joint NASA-Air Force space medical instrumentation program, and he supervised the design of medical experiments in the Apollo and Skylab space programs."
Charles A. Eldon,M,1985,"worked for nearly forty years at Hewlett Packard Company, where he managed various operations for the company."
Bruno O. Weinschel,M,1986,"founded Weinschel Engineering, which became an industry leader in precision measurement hardware and techniques."
Henry L. Bachman,M,1987,served in a number of technical and managerial positions at Wheeler Laboratories and Hazeltine Corporation.
Russell C. Drew,M,1988,co-founded and was president of Viking Instruments Company. He later supervised the development of an advanced spacecraft tandem mass spectrometer.
Emerson W. Pugh,M,1989,"worked for IBM for twenty-five years in the following positions: research scientist, product development manager, and corporate executive."
Carleton A. Bayless,M,1990,"was employed by Bell Systems from 1940 until his retirement in 1981 with positions at Southern California Telephone, AT&T, Western Electric, and Pacific Telephone and Telegraph."
Eric E. Sumner,M,1991,"worked at Bell Labs from 1948 to 1989. He led the group that developed the pulse code modulation (PCM) transmission system (1955), and later director of transmission systems (1960) that developed the T1 carrier system (1962)."
"Merrill W. Buckley, Jr.",M,1992,"worked at RCA/GE, where he specialized in project management for complex electronic systems."
Martha Sloan,F,1993,worked at Lockheed Missiles and Space Company. She is currently an electrical and computer engineering professor at Michigan Technological University.
H. Troy Nagle,M,1994,"is a professor of biomedical engineering at North Carolina State University, and he also serves as the head of the Biomedical Engineering Department at the university."
J. Thomas Cain,M,1995,"worked with many different companies such as GE, Westinghouse, and Bell Telephone Company. He later became a professor at the University of Pittsburgh."
Wallace S. Read,M,1996,"was president of the Canadian Electricity Association (CEA), and also worked in the pulp and paper and hydro-electric power industries in Newfoundland, Canada."
Charles K. Alexander,M,1997,"is Professor of Electrical and Computer Engineering at Cleveland State University. He served earlier as the Dean of the Fenn College of Engineering at Cleveland State University, Dean of Engineering and Computer Science at California State University at Northridge, and Acting Dean of the College of Engineering at Temple University."
Joseph Bordogna,M,1998,"was the deputy director and Chief Operating Officer of the National Science Foundation (1999-2005). He is currently the Alfred Fitler Moore Professor of Engineering at the University of Pennsylvania, where he served formerly as Dean of the School of Engineering and Applied Science."
Kenneth R. Laker,M,1999,"is the Alfred Fitler Moore Professor of Electrical Engineering at the University of Pennsylvania, where he also served as department chair. He is a co-founder of DFT Microsystems in Norristown, PA. He held positions with the Air Force Cambridge Research Labs in Cambridge, Massachusetts and AT&T Bell Labs in Holmdel, New Jersey."
Bruce A. Eisenstein,M,2000,is the Arthur J. Rowland Professor of Electrical and Computer Engineering and Vice Dean of Engineering at Drexel University.
Joel B. Snyder,M,2001,"has worked on a number of projects including removable media disk memories, voice-over-data modems, and nonlinear sampling techniques. He also has a patent for his research regarding video piracy prevention techniques."
Raymond D. Findlay,M,2002,"is a professor at McMaster University. He also serves as vice president of JDRF Electromag Engineering Research, Inc."
Michael S. Adler,M,2003,"contributed to the invention and development of new power semiconductors (the IGBT, the power MOSFET, and the power IC) when he worked at GE."
Arthur W. Winston,M,2004,"was one of the founders of the Tufts Gordon Institute, and a professor at Tufts University."
W. Cleon Anderson,M,2005,"has worked in the electronic industry for a number of companies including Lockheed Martin, L-3 Communications, and Sperry. He also holds three patents."
Michael R. Lightner,M,2006,is a Professor of Electrical and Computer Engineering at the University of Colorado – Boulder. His research interests center around the development and application of technology in order to improve learning.
Leah H. Jamieson,F,2007,"is the Ransburg Professor of Electrical and Computer Engineering and Dean of Engineering at Purdue University. She co-founded Engineering Projects In Community Service (EPICS), which links engineering students and local community service programs to serve societal needs."
Lewis M. Terman,M,2008,"worked for IBM for forty-five years, and retired from the company’s research division in 2006. His research interests included solid-state circuits, semiconductor technology, and memory design and technology among other topics."
John R. Vig,M,2009,"led research and development programs focused on developing precision clocks, sensors, and low-noise oscillators in the U.S. Army Research Laboratory."
Pedro A. Ray,M,2010,"is President of Ray Engineers, a professional services corporation. He served on the Boards of Directors of the Puerto Rico Government Development Bank (GDB), the Puerto Rico Housing Financing Administration and the Puerto Rico Infrastructure Financing Authority."
Moshe Kam,M,2011,"was the Robert Quinn Professor and Department Head of Electrical and Computer Engineering at Drexel University. His research interests include robotics and navigation, detection and estimation, wireless communications, and engineering education. In 2014, he became Dean of the Newark College of Engineering, a unit of the New Jersey Institute of Technology in Newark, New Jersey."
Gordon Day,M,2012,"spent most of his career in research and management at the National Institute of Standards and Technology, where he founded and led the NIST Optoelectronics Division."
Peter Staecker,M,2013,Spent the first part of his career at MIT's Lincoln Laboratories before moving into the private sector at MA/COM.
J. Roberto de Marca,M,2014,"founding President of the Brazilian Telecommunications Society and faculty of the Catholic University, Rio de Janeiro (PUC/Rio) since 1978"
Howard Michel,M,2015,"faculty of the University of Dayton and is currently at the University of Massachusetts at Dartmouth, where he has graduated three Ph.D. and thirty-five M.S. students."
Barry L. Shoop,M,2016,"Professor and Department Head of the Department of Electrical Engineering and Computer Science at the United States Military Academy in West Point, New York."
Karen Bartleson,F,2017,Senior Director of Corporate Programs and Initiatives at Synopsys and past president of IEEE Standards Association
James Jefferies,M,2018,Held engineering and executive positions including fiber optic cable development and manufacturing for 33 years at AT&T
